doc=2793 score=0.08833417 name=org.apache.commons.collections.map.CaseInsensitiveMap#convertKey#119:125
doc=1100 score=0.08545037 name=org.apache.commons.collections.BinaryHeap#toString#442:457
doc=1213 score=0.08545037 name=org.apache.commons.collections.buffer.PriorityBuffer#toString#528:543
doc=2794 score=0.082271196 name=org.apache.commons.collections.map.CaseInsensitiveMap#writeObject#140:143
doc=2795 score=0.082271196 name=org.apache.commons.collections.map.CaseInsensitiveMap#readObject#148:151
doc=2796 score=0.082271196 name=org.apache.commons.collections.map.CaseInsensitiveMap#clone#133:135
doc=2292 score=0.07584367 name=org.apache.commons.collections.map.Flat3Map#toString#1104:1131
doc=2208 score=0.071741104 name=org.apache.commons.collections.PredicateUtils#nullIsFalsePredicate#499:501
doc=2209 score=0.071741104 name=org.apache.commons.collections.PredicateUtils#nullIsExceptionPredicate#484:486
doc=2211 score=0.071741104 name=org.apache.commons.collections.PredicateUtils#nullIsTruePredicate#514:516
doc=272 score=0.06646782 name=org.apache.commons.collections.MapUtils#getBoolean#162:179
doc=610 score=0.06468116 name=org.apache.commons.collections.comparators.FixedOrderComparator#compare#237:264
doc=597 score=0.061325908 name=org.apache.commons.collections.SynchronizedPriorityQueue#toString#99:101
doc=2188 score=0.061325908 name=org.apache.commons.collections.keyvalue.AbstractKeyValue#toString#75:81
doc=2198 score=0.061325908 name=org.apache.commons.collections.keyvalue.TiedMapEntry#toString#131:133
doc=1526 score=0.058232833 name=org.apache.commons.collections.list.FixedSizeList#maxSize#159:161
doc=1538 score=0.058232833 name=org.apache.commons.collections.list.FixedSizeList#isFull#155:157
doc=1539 score=0.058232833 name=org.apache.commons.collections.list.FixedSizeList#iterator#99:101
doc=149 score=0.05366017 name=org.apache.commons.collections.iterators.EntrySetMapIterator#toString#163:169
doc=1429 score=0.053406484 name=org.apache.commons.collections.ExtendedProperties#testBoolean#1206:1216
doc=1527 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#add#150:152
doc=1528 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#addAll#83:85
doc=1529 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#decorate#55:57
doc=1530 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#remove#147:149
doc=1531 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#remove#119:121
doc=1532 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#lastIndexOf#103:105
doc=1533 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#indexOf#95:97
doc=1534 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#remove#115:117
doc=1535 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#add#75:77
doc=1536 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#get#91:93
doc=1537 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#set#131:133
doc=1540 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#listIterator#111:113
doc=1541 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#subList#135:138
doc=1542 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#add#71:73
doc=1543 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#retainAll#127:129
doc=1544 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#removeAll#123:125
doc=1545 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#clear#87:89
doc=1546 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#addAll#79:81
doc=1547 score=0.050953727 name=org.apache.commons.collections.list.FixedSizeList#listIterator#107:109
