723 1.0 de.susebox.java.io.ExtIOException,getFormat()Ljava/lang/String;,31/31
722 1.0 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/Throwable;Ljava/lang/String;[Ljava/lang/Object;)V,59/63
711 0.8164965809277261 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/Throwable;Ljava/lang/String;[Ljava/lang/Object;)V,73/56
710 0.8164965809277261 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/Throwable;Ljava/lang/String;[Ljava/lang/Object;)V,50/50
725 0.7071067811865475 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/String;[Ljava/lang/Object;)V,48/48
724 0.7071067811865475 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/String;[Ljava/lang/Object;)V,47/47
717 0.5 de.susebox.java.io.ExtIOException,nextException()Ljava/lang/Exception;,14/14
716 0.5 de.susebox.java.io.ExtIOException,isWrapper()Z,23/23
719 0.5 de.susebox.java.io.ExtIOException,nextException()Ljava/lang/Exception;,17/17
718 0.5 de.susebox.java.io.ExtIOException,nextException()Ljava/lang/Exception;,16/16
712 0.5 de.susebox.java.io.ExtIOException,<init>(Ljava/lang/Throwable;Ljava/lang/String;[Ljava/lang/Object;)V,56/56
715 0.5 de.susebox.java.io.ExtIOException,isWrapperException()Z,27/27
338 0.0 de.susebox.java.util.AbstractTokenizer,completeSpecialSequence(Lde/susebox/java/util/Token;)V,1986/1988
339 0.0 de.susebox.java.util.AbstractTokenizer,completeSpecialSequence(Lde/susebox/java/util/Token;)V,1988/1988
332 0.0 de.susebox.java.util.AbstractTokenizer,test4SpecialSequence(Lde/susebox/java/util/Token;)Z,1962/1964
333 0.0 de.susebox.java.util.AbstractTokenizer,test4SpecialSequence(Lde/susebox/java/util/Token;)Z,1965/1965
330 0.0 de.susebox.java.util.AbstractTokenizer,isSequenceCommentOrString(I)Lde/susebox/java/util/TokenizerProperty;,1585/1578
159 0.0 de.susebox.java.util.SortedArray,searchBinary(Ljava/lang/String;IZ)Lde/susebox/java/util/TokenizerProperty;,2569/2569
158 0.0 de.susebox.java.util.SortedArray,searchBinary(Ljava/lang/String;IZ)Lde/susebox/java/util/TokenizerProperty;,2567/2569
331 0.0 de.susebox.java.util.AbstractTokenizer,isSequenceCommentOrString(I)Lde/susebox/java/util/TokenizerProperty;,1589/1589
